,name,long,lat,df_name,cat1,cat2,cat1_name,cat2_name
0,,9.21573025945,45.4908592205,distr,non alimentare,,settore_merceologico,
1,,9.19266934526,45.475106513,distr,non alimentare,,settore_merceologico,
2,verzeri,,,distr,non alimentare,,settore_merceologico,
3,,9.17414836917,45.4813065886,distr,alimentare|non alimentare,,settore_merceologico,
4,riparaz. contachilometri,9.16603062658,45.4819567894,distr,non alimentare,,settore_merceologico,
5,spaccio aziendale,9.24759953178,45.4491741674,distr,non alimentare,,settore_merceologico,
6,lalique,9.19475505901,45.4670304259,distr,non alimentare,,settore_merceologico,
7,,9.12297664505,45.5004521151,distr,non alimentare,,settore_merceologico,
8,il bagno ideale,9.18142971178,45.4608820157,distr,non alimentare,,settore_merceologico,
9,spaccio zucchi,9.14171183237,45.4651596368,distr,non alimentare,,settore_merceologico,
10,mercato dell usato,9.13319173531,45.4684714216,distr,non alimentare,,settore_merceologico,
11,,9.20011509334,45.4672615409,distr,non alimentare,,settore_merceologico,
12,mercedes benz milano,9.21959799763,45.4504177834,distr,non alimentare,,settore_merceologico,
13,il mercatino di via arbe,9.19794781106,45.4984915679,distr,alimentare|non alimentare,,settore_merceologico,
14,autoriparazioni salvioni,9.15853312172,45.4924685329,distr,non alimentare,,settore_merceologico,
15,fontana arredamenti,9.17181516734,45.453206039,distr,non alimentare,,settore_merceologico,
16,italbar,9.14503585588,45.4654615681,distr,alimentare|non alimentare,,settore_merceologico,
17,boss hugo boss,9.19704716455,45.4669398855,distr,Non Alimentare,,settore_merceologico,
18,arc linea,9.18185382206,45.4615751681,distr,non alimentare,,settore_merceologico,
19,armani giorgio retail srl,9.19310030281,45.4705617955,distr,non alimentare,,settore_merceologico,
20,trussardi,9.1890898402,45.4670632305,distr,Non Alimentare,,settore_merceologico,
21,kathay china food store,9.17470950235,45.4804795794,distr,Non Alimentare|Alimentare,,settore_merceologico,
22,,,,distr,Alimentare|Non Alimentare,,settore_merceologico,
23,salina albera,9.13007999595,45.5101494249,distr,non alimentare,,settore_merceologico,
24,splendori,9.19824651982,45.4667249465,distr,non alimentare,,settore_merceologico,
25,di x di,9.17451398531,45.4772051852,distr,alimentare|non alimentare,,settore_merceologico,
26,,9.17119220385159,45.4595868581695,distr,non alimentare,,settore_merceologico,
27,,9.18412932538,45.4688811706,distr,non alimentare,,settore_merceologico,
28,salvatore ferragamo,9.19372555194,45.4695384318,distr,Non Alimentare,,settore_merceologico,
29,,9.21159536393,45.4466981782,distr,non alimentare,,settore_merceologico,
30,libri e cose,9.11479754273,45.495837865,distr,non alimentare,,settore_merceologico,
31,2f climatizzazione,9.1242553549,45.4543298469,distr,non alimentare,,settore_merceologico,
32,,9.19713258636,45.4656162338,distr,Non Alimentare,,settore_merceologico,
33,,9.16634751881,45.4548510121,distr,non alimentare,,settore_merceologico,
34,,9.19996051726355,45.464448310326,distr,non alimentare,,settore_merceologico,
35,bellani,9.21155796517,45.4610469739,distr,non alimentare,,settore_merceologico,
36,tiffany,,,distr,non alimentare,,settore_merceologico,
37,willy sport,9.19979658757,45.4567876013,distr,non alimentare,,settore_merceologico,
38,,9.21088368972,45.4743068101,distr,non alimentare,,settore_merceologico,
39,,9.19610816298,45.4668030056,distr,non alimentare,,settore_merceologico,
40,,9.19493682761,45.4678772861,distr,non alimentare,,settore_merceologico,
41,,9.18571231323,45.4649892789,distr,Non Alimentare,,settore_merceologico,
42,,,,distr,non alimentare,,settore_merceologico,
43,,9.21622958518,45.4534702153,distr,non alimentare,,settore_merceologico,
44,punto sma,9.13642221863,45.4634817312,distr,alimentare|non alimentare,,settore_merceologico,
45,,,,distr,non alimentare,,settore_merceologico,
46,prenatal,9.18008767096,45.4505789724,distr,non alimentare,,settore_merceologico,
47,,9.2168955021,45.4944807331,distr,non alimentare,,settore_merceologico,
48,,9.19334446086,45.4691927893,distr,non alimentare,,settore_merceologico,
49,euronics point,9.13729505085,45.4657548519,distr,non alimentare,,settore_merceologico,
50,ecliss top garden,9.16889017942,45.4502479923,distr,non alimentare,,settore_merceologico,
51,,9.18146447703,45.4571564687,distr,non alimentare,,settore_merceologico,
52,,9.19884188983,45.4853845173,distr,alimentare|non alimentare,,settore_merceologico,
53,,9.15317241829,45.4887182786,distr,non alimentare,,settore_merceologico,
54,,,,distr,,,settore_merceologico,
55,,9.18722243836,45.4627410547,distr,non alimentare,,settore_merceologico,
56,,9.14537616525,45.4755252815,distr,alimentare|non alimentare,,settore_merceologico,
57,,9.22495003141,45.5148576093,distr,non alimentare,,settore_merceologico,
58,giovenzana,9.19779900701,45.4630806023,distr,non alimentare,,settore_merceologico,
59,,9.18633292129,45.480013784,distr,non alimentare,,settore_merceologico,
60,,,,distr,non alimentare,,settore_merceologico,
61,datch,9.18584910114,45.4620742439,distr,non alimentare,,settore_merceologico,
62,ronchi arredamenti snc,9.22108982848,45.4810215516,distr,non alimentare,,settore_merceologico,
63,milano star mercedes benz,9.21924637662,45.4505619535,distr,non alimentare,,settore_merceologico,
64,,9.18501804867,45.4613294946,distr,Non Alimentare,,settore_merceologico,
65,tenda davide cenci,9.19100523402,45.4685294543,distr,non alimentare,,settore_merceologico,
66,,9.15841694807,45.4933359267,distr,Non Alimentare,,settore_merceologico,
67,di per di,9.17878972212,45.438035634,distr,alimentare|non alimentare,,settore_merceologico,
68,,9.2322148444,45.4894008048,distr,non alimentare,,settore_merceologico,
69,punto sma,,,distr,alimentare,,settore_merceologico,
70,,9.11006961918,45.4716266825,distr,non alimentare,,settore_merceologico,
71,,9.21758722326,45.4814775371,distr,non alimentare,,settore_merceologico,
72,crai,9.1944572963,45.450813059,distr,alimentare|non alimentare,,settore_merceologico,
73,,,,distr,non alimentare,,settore_merceologico,
74,,9.17724122071,45.4438203032,distr,non alimentare,,settore_merceologico,
75,argenteria dabbene,9.18715805951,45.4752182651,distr,non alimentare,,settore_merceologico,
76,,9.2308867115,45.4371464661,distr,non alimentare,,settore_merceologico,
77,,9.17509654963,45.4675781699,distr,Alimentare|Non Alimentare,,settore_merceologico,
78,,9.18795210514,45.482323124,distr,Non Alimentare,,settore_merceologico,
79,dev,9.16356638525,45.4663810253,distr,non alimentare,,settore_merceologico,
80,gottardo sport,9.18001184501,45.4500208906,distr,non alimentare,,settore_merceologico,
81,,9.13465805698,45.4970299617,distr,non alimentare,,settore_merceologico,
82,,9.11700439563,45.4738533081,distr,non alimentare,,settore_merceologico,
