,CODICE COMPLESSO,DENOMINAZIONE COMPLESSO,CODICE EDIFICIO,DENOMINAZIONE EDIFICIO,INDIRIZZO,CIVICO,COMUNE,CONDOMINIO,full_address,lat,lon
0,100017,PONTI,10001708,DEL TURCHINO 20 C-D (VIA),VIA DEL TURCHINO,20,MILANO,,VIA DEL TURCHINO 20 MILANO,45.4518933,9.2280527
1,100017,PONTI,10001709,DEL TURCHINO 20 E-F (VIA),VIA DEL TURCHINO,20,MILANO,,VIA DEL TURCHINO 20 MILANO,45.4518933,9.2280527
2,100017,PONTI,10001710,DEL TURCHINO 20 G (VIA),VIA DEL TURCHINO,20,MILANO,,VIA DEL TURCHINO 20 MILANO,45.4518933,9.2280527
3,100017,PONTI,10001711,DEL TURCHINO 20 H (VIA),VIA DEL TURCHINO,20,MILANO,,VIA DEL TURCHINO 20 MILANO,45.4518933,9.2280527
4,100017,PONTI,10001712,DEL TURCHINO 22 A (VIA),VIA DEL TURCHINO,22,MILANO,,VIA DEL TURCHINO 22 MILANO,45.4518933,9.2280527
5,100017,PONTI,10001713,DEL TURCHINO 22 B (VIA),VIA DEL TURCHINO,22,MILANO,,VIA DEL TURCHINO 22 MILANO,45.4518933,9.2280527
6,100017,PONTI,10001714,DEL TURCHINO 22 C-D (VIA),VIA DEL TURCHINO,22,MILANO,,VIA DEL TURCHINO 22 MILANO,45.4518933,9.2280527
7,100017,PONTI,10001716,DEL TURCHINO 18 (VIA),VIA DEL TURCHINO,18,MILANO,,VIA DEL TURCHINO 18 MILANO,45.4516612,9.2271411
8,100017,PONTI,10001717,DEL TURCHINO 20 (VIA),VIA DEL TURCHINO,20,MILANO,,VIA DEL TURCHINO 20 MILANO,45.4518933,9.2280527
9,100018,XXII MARZO,10001801,"SANTA MARIA DEL SUFFRAGIO, 2 (PIAZZA)",VIA MOROSINI EMILIO,4,MILANO,,VIA MOROSINI EMILIO 4 MILANO,45.4615841,9.2111592
10,100019,D'AGRATE-PISMONTE,10001901,PISMONTE 8 (VIA),VIA PISMONTE,8,MILANO,,VIA PISMONTE 8 MILANO,45.4364827,9.2160527
11,100019,D'AGRATE-PISMONTE,10001902,MARCO D'AGRATE 11 (VIA),VIA MARCO D'AGRATE,11,MILANO,,VIA MARCO D'AGRATE 11 MILANO,45.436934,9.2111513
12,100020,BARZONI CASETTE,10002001,"BARZONI VITTORIO, 11/A (VIA)",VIA BARZONI VITTORIO,11/A,MILANO,,VIA BARZONI VITTORIO 11/A MILANO,45.4373796,9.2270668
13,100020,BARZONI CASETTE,10002002,BARZONI VITTORIO 11-A (VIA),VIA BARZONI VITTORIO,11/A,MILANO,,VIA BARZONI VITTORIO 11/A MILANO,45.4373796,9.2270668
14,100020,BARZONI CASETTE,10002003,BARZONI VITTORIO 11/A (VIA),VIA BARZONI VITTORIO,11/A,MILANO,,VIA BARZONI VITTORIO 11/A MILANO,45.4373796,9.2270668
15,100020,BARZONI CASETTE,10002004,BARZONI VITTORIO 11/B (VIA),VIA BARZONI VITTORIO,11/B,MILANO,,VIA BARZONI VITTORIO 11/B MILANO,45.4373796,9.2270668
